Learning Rate	TrainLoss	TestLoss	TrainL(intrr)	TrainL(bndry)	TrainL(intfc)	
0.00100000	1909.08453352	0.05338277	0.21662258	0.73240144	0.02203240	
0.00100000	711.64154963	0.00883844	0.10086388	0.29997162	0.00332356	
0.00100000	272.95072405	0.01431606	0.19566846	0.15240795	0.00176931	
0.00100000	153.78499219	0.00385394	0.16067312	0.08149823	0.00043381	
0.00100000	148.11530960	0.00494152	0.16601020	0.07425520	0.00038233	
0.00100000	91.91659047	0.00587837	0.23815612	0.04970951	0.00047040	
0.00100000	72.86603553	0.00245902	0.26844970	0.03877898	0.00030424	
0.00100000	62.23604148	0.00458125	0.30261279	0.03186484	0.00022432	
0.00100000	46.98718727	0.00411105	0.35387848	0.02411832	0.00025962	
0.00100000	37.45754701	0.00391776	0.38853934	0.01904418	0.00019299	
0.00100000	29.35806423	0.00488362	0.43826514	0.01446449	0.00018712	
0.00100000	23.50615817	0.00446937	0.47736171	0.01134673	0.00016313	
0.00100000	19.53587622	0.00519177	0.50844312	0.00916210	0.00014161	
0.00100000	16.67902279	0.00508435	0.53407793	0.00763513	0.00012817	
0.00100000	14.92746070	0.00532388	0.55004318	0.00669389	0.00011113	
0.00100000	13.73990172	0.00525447	0.55789014	0.00607613	0.00009991	
0.00100000	13.01382692	0.00527702	0.55746130	0.00569863	0.00009063	
0.00100000	12.48429035	0.00516797	0.55222138	0.00543922	0.00008224	
0.00100000	12.08346915	0.00505223	0.54306413	0.00525167	0.00007652	
0.00100000	11.74113566	0.00495214	0.53107355	0.00510158	0.00007252	
0.00100000	11.44337619	0.00476967	0.51804197	0.00497072	0.00006931	
0.00100000	11.14501246	0.00463117	0.50411223	0.00484401	0.00006764	
0.00100000	10.86050365	0.00453214	0.48969667	0.00472035	0.00006748	
0.00100000	10.58057044	0.00430990	0.47520998	0.00459539	0.00006651	
0.00100000	10.26967456	0.00418988	0.46031373	0.00446036	0.00006712	
0.00100000	9.95353713	0.00405976	0.44545400	0.00431981	0.00006770	
0.00100000	9.63371399	0.00391430	0.43037139	0.00417968	0.00006952	
0.00100000	9.30973753	0.00371049	0.41527573	0.00403604	0.00006996	
0.00100000	8.97958422	0.00356733	0.39964944	0.00389233	0.00007279	
0.00100000	8.65085825	0.00342186	0.38388364	0.00374423	0.00007555	
0.00100000	8.34328430	0.00327731	0.36790718	0.00360390	0.00008093	
0.00100000	8.01517275	0.00309009	0.35177311	0.00346171	0.00008357	
0.00100000	7.69366792	0.00294167	0.33560230	0.00331966	0.00008579	
0.00100000	7.37409933	0.00273497	0.31945821	0.00318028	0.00008809	
0.00100000	7.04341659	0.00250239	0.30342226	0.00304153	0.00009277	
0.00100000	6.74548904	0.00245088	0.28711745	0.00290268	0.00010755	
0.00100000	6.47834983	0.00233776	0.27152218	0.00277734	0.00011326	
0.00100000	6.21700251	0.00201909	0.25610286	0.00266398	0.00012162	
0.00100000	5.83548719	0.00196690	0.24028583	0.00250601	0.00011332	
0.00100000	5.56564775	0.00180969	0.22576057	0.00238698	0.00011751	
0.00100000	5.40894517	0.00172833	0.21127015	0.00230394	0.00016796	
0.00100000	5.00340265	0.00153700	0.19766979	0.00214168	0.00011352	
0.00100000	4.73225500	0.00127764	0.18460491	0.00204309	0.00012875	
0.00100000	4.93839903	0.00113504	0.17205057	0.00206436	0.00027143	
0.00100000	4.38168967	0.00114427	0.15964387	0.00183713	0.00015498	
0.00100000	4.05583461	0.00126821	0.14868552	0.00173504	0.00015741	
0.00100000	4.83751141	0.00117645	0.13860343	0.00191848	0.00042647	
0.00100000	3.90130898	0.00072312	0.12930069	0.00162993	0.00019109	
0.00100000	3.66175073	0.00090120	0.11993455	0.00149037	0.00017808	
0.00100000	3.37963640	0.00065848	0.11282496	0.00140114	0.00015137	
0.00100000	3.50064778	0.00055036	0.10601096	0.00144998	0.00029045	
0.00100000	2.99171258	0.00067260	0.09906784	0.00122706	0.00016107	
0.00100000	2.74045064	0.00049706	0.09370620	0.00113930	0.00012507	
0.00100000	2.54527382	0.00052985	0.08831800	0.00105186	0.00011959	
0.00100000	2.40560222	0.00046832	0.08377010	0.00099115	0.00011678	
0.00100000	2.37354048	0.00031255	0.07972214	0.00101942	0.00018791	
0.00100000	3.98826496	0.00031661	0.07542874	0.00144777	0.00063161	
0.00100000	2.40666376	0.00039744	0.07103206	0.00096840	0.00023428	
0.00100000	2.08397251	0.00031057	0.06832427	0.00084792	0.00014538	
0.00100000	1.87433286	0.00030049	0.06566291	0.00075531	0.00011455	
0.00100000	1.74065033	0.00028618	0.06372296	0.00069797	0.00010530	
0.00100000	1.63342186	0.00025994	0.06178824	0.00064646	0.00009840	
0.00100000	1.54574309	0.00022875	0.05998893	0.00061552	0.00010351	
0.00100000	1.42772238	0.00023200	0.05814757	0.00055516	0.00008231	
0.00100000	1.35381313	0.00020114	0.05656859	0.00053151	0.00008432	
0.00100000	1.38176575	0.00019778	0.05496211	0.00052109	0.00010051	
0.00100000	1.23145193	0.00019440	0.05354827	0.00046734	0.00007598	
0.00100000	1.14456123	0.00020783	0.05224071	0.00043196	0.00006719	
0.00100000	1.55422330	0.00037311	0.05100446	0.00065054	0.00027204	
0.00100000	4.15587610	0.00014256	0.04997956	0.00114230	0.00068320	
0.00100000	1.77183292	0.00022964	0.04827889	0.00056799	0.00021314	
0.00100000	1.29024450	0.00014814	0.04760300	0.00046139	0.00012830	
0.00100000	1.05438189	0.00017171	0.04694382	0.00037882	0.00009025	
0.00100000	0.92608966	0.00017472	0.04651523	0.00032809	0.00006245	
0.00100000	0.84455707	0.00014934	0.04600023	0.00030022	0.00005359	
0.00100000	0.82262106	0.00017458	0.04537049	0.00028229	0.00005406	
0.00100000	0.77106803	0.00016511	0.04476560	0.00026234	0.00004574	
0.00100000	0.73149516	0.00014173	0.04412266	0.00025225	0.00004479	
0.00100000	0.75789186	0.00017825	0.04340091	0.00025120	0.00005341	
0.00100000	0.83277757	0.00015549	0.04283921	0.00026653	0.00007024	
0.00100000	0.72504822	0.00012844	0.04225070	0.00026027	0.00006943	
0.00100000	0.94718519	0.00013208	0.04161558	0.00029699	0.00010804	
0.00100000	0.65851432	0.00018065	0.04107596	0.00021759	0.00004957	
0.00100000	1.23038979	0.00022965	0.04062230	0.00042437	0.00022127	
0.00100000	1.40003990	0.00014667	0.04008425	0.00038011	0.00018262	
0.00100000	0.62161497	0.00012678	0.03965843	0.00022052	0.00005722	
0.00100000	0.67776774	0.00015095	0.03922885	0.00020092	0.00005142	
0.00100000	0.59828510	0.00016909	0.03890125	0.00019692	0.00005274	
0.00100000	0.79521590	0.00017380	0.03857796	0.00025455	0.00010216	
0.00100000	0.77290811	0.00017045	0.03816509	0.00023432	0.00008926	
0.00100000	0.89998756	0.00020189	0.03776486	0.00030859	0.00015078	
0.00100000	1.21306871	0.00016433	0.03740427	0.00034375	0.00017942	
0.00100000	0.52845946	0.00013368	0.03696643	0.00015943	0.00002990	
0.00100000	0.47650792	0.00013079	0.03669859	0.00014910	0.00002790	
0.00100000	0.51927698	0.00013309	0.03642167	0.00015644	0.00003765	
0.00100000	0.42266256	0.00013662	0.03610352	0.00012523	0.00001659	
0.00100000	0.40431513	0.00014237	0.03580066	0.00012053	0.00001522	
0.00100000	0.47493211	0.00020369	0.03543154	0.00016402	0.00005309	
0.00100000	4.76564003	0.00029118	0.03514762	0.00199549	0.00149984	
0.00100000	2.82099238	0.00029771	0.03431054	0.00084937	0.00054709	
0.00100000	2.02322935	0.00022659	0.03404144	0.00055549	0.00029357	
0.00100000	1.11841964	0.00019127	0.03421241	0.00032503	0.00012931	
0.00100000	0.67754732	0.00017432	0.03447438	0.00020437	0.00005826	
0.00100000	0.51008753	0.00016219	0.03467785	0.00015298	0.00003327	
0.00100000	0.42021545	0.00015670	0.03470565	0.00012262	0.00001901	
0.00100000	0.38107859	0.00015443	0.03454154	0.00011039	0.00001371	
0.00100000	0.36268946	0.00015136	0.03426683	0.00010440	0.00001056	
0.00100000	0.35483706	0.00014722	0.03389608	0.00010269	0.00000925	
0.00100000	0.34767751	0.00014454	0.03354496	0.00010086	0.00000809	
0.00100000	0.34108673	0.00014263	0.03320953	0.00009904	0.00000737	
0.00100000	0.33638953	0.00014104	0.03289475	0.00009727	0.00000703	
0.00100000	0.33135089	0.00014234	0.03258915	0.00009519	0.00000672	
0.00100000	0.32811284	0.00013912	0.03229955	0.00009371	0.00000651	
0.00100000	0.32095775	0.00013595	0.03201229	0.00009193	0.00000626	
0.00100000	0.31469425	0.00013453	0.03172509	0.00008986	0.00000574	
0.00100000	0.31044044	0.00013530	0.03142901	0.00008839	0.00000559	
0.00100000	0.30552960	0.00013518	0.03114077	0.00008645	0.00000505	
0.00100000	0.30188950	0.00013051	0.03086596	0.00008538	0.00000484	
