Learning Rate	TrainLoss	TestLoss	TrainL(reglr)	TrainL(bndry)	TrainL(snglr)	TrainL(symtry)	
0.00100000	1786.58268838	0.04925620	18.25399526	0.03676737	0.59503949	0.02542552	
0.00100000	474.11898197	0.01459926	45.86404070	0.05130946	0.04502783	0.00898459	
0.00100000	268.22105585	0.00528727	26.32003472	0.01748406	0.04928165	0.00944322	
0.00100000	148.09507970	0.00845213	22.86049024	0.00452486	0.01354853	0.00299324	
0.00100000	70.41673801	0.02138126	10.68965083	0.00449467	0.00787240	0.00141718	
0.00100000	42.93836215	0.01558592	3.02858775	0.00783337	0.00312921	0.00153111	
0.00100000	18.10048480	0.00551285	1.02918572	0.00398379	0.00197827	0.00073668	
0.00100000	8.13840336	0.00185433	0.45200656	0.00177542	0.00095971	0.00037415	
0.00100000	7.18015838	0.00242673	0.28696099	0.00213422	0.00079944	0.00028271	
0.00100000	5.98825314	0.00252916	0.29901672	0.00182480	0.00039267	0.00025242	
0.00100000	4.79591822	0.00299744	0.33503846	0.00133073	0.00025351	0.00023496	
0.00100000	4.30093541	0.00351556	0.32762546	0.00119551	0.00021636	0.00022072	
0.00100000	4.20582895	0.00340543	0.32323855	0.00114562	0.00020101	0.00020812	
0.00100000	4.15432089	0.00310812	0.28865563	0.00111269	0.00025359	0.00019564	
0.00100000	3.85580089	0.00288888	0.27620822	0.00112325	0.00021799	0.00018503	
0.00100000	3.67553817	0.00309855	0.25754197	0.00111469	0.00017214	0.00017615	
0.00100000	3.83374031	0.00289929	0.26585194	0.00107198	0.00020757	0.00017310	
0.00100000	3.79344151	0.00282584	0.26146785	0.00107636	0.00017172	0.00016296	
0.00100000	3.59600541	0.00303294	0.24795407	0.00104831	0.00015801	0.00015704	
0.00100000	3.46212004	0.00279644	0.24154506	0.00102543	0.00015367	0.00015167	
0.00100000	3.42725834	0.00280751	0.24120533	0.00102179	0.00015047	0.00014412	
0.00100000	3.30155013	0.00290197	0.23550002	0.00100078	0.00013607	0.00013835	
0.00100000	3.32087100	0.00283025	0.23735794	0.00096963	0.00013602	0.00013419	
0.00100000	3.33735021	0.00264660	0.22733010	0.00096549	0.00014587	0.00012932	
0.00100000	3.21820858	0.00269586	0.22149076	0.00096990	0.00015401	0.00012297	
0.00100000	3.01527153	0.00278553	0.22377620	0.00094384	0.00011205	0.00011851	
0.00100000	3.02778190	0.00278227	0.22172111	0.00091963	0.00012184	0.00011511	
0.00100000	3.04820138	0.00273818	0.22150635	0.00090643	0.00013583	0.00011066	
0.00100000	3.06452580	0.00265231	0.21742780	0.00090943	0.00012791	0.00010704	
0.00100000	3.03797522	0.00268635	0.21725033	0.00088818	0.00011833	0.00010345	
0.00100000	2.86543093	0.00255349	0.21024652	0.00087835	0.00009004	0.00009979	
0.00100000	2.80417163	0.00262419	0.20930021	0.00087747	0.00008252	0.00009587	
0.00100000	2.86829280	0.00266356	0.21252929	0.00084876	0.00009315	0.00009303	
0.00100000	2.72734843	0.00249644	0.20668429	0.00084518	0.00007768	0.00009028	
